,player_name,wins,loss,player_agent,player_kills,player_deaths,player_assists,player_first_bloods,player_first_deaths,player_clutches,player_combat_score,bracket,region
126,dodonut,0,1,Raze,16,13,6,3,3,0,292.7647058823529,game-changers,NA
130,florescent,1,0,Jett,16,11,5,3,3,0,223.0,vct-challengers,NA
135,bizerra,0,1,KAY/O,6,15,4,2,1,0,144.05555555555554,game-changers,BR
136,bstrdd,0,1,Jett,13,15,0,1,2,0,199.44444444444446,game-changers,BR
137,daiki,0,1,Sova,10,16,1,3,1,0,161.05555555555554,game-changers,BR
138,isaa,0,1,Cypher,13,14,5,1,4,0,210.0,game-changers,BR
139,Joojina,0,1,Viper,9,13,3,1,2,0,142.11111111111111,game-changers,BR
170,bizerra,1,0,KAY/O,19,14,13,2,1,1,266.7142857142857,game-changers,BR
171,bstrdd,1,0,Jett,19,16,1,4,4,0,224.0,game-changers,BR
172,daiki,1,0,Sova,12,14,8,1,1,1,174.38095238095238,game-changers,BR
173,isaa,1,0,Killjoy,22,12,3,3,2,2,287.5238095238095,game-changers,BR
174,Joojina,1,0,Omen,15,16,8,1,2,1,208.76190476190476,game-changers,BR
175,Felipa,0,1,KAY/O,11,17,9,2,2,1,144.52380952380952,vct-international,EMEA
176,Alkyia,0,1,Jett,15,19,2,4,5,0,206.1904761904762,vct-international,EMEA
177,Vania,0,1,Omen,19,16,7,0,1,2,257.5238095238095,vct-international,EMEA
178,eva,0,1,Sova,17,17,4,2,1,0,235.42857142857142,vct-international,EMEA
179,Wens,0,1,Killjoy,10,18,4,2,2,0,156.85714285714286,vct-international,EMEA
213,florescent,1,0,Yoru,30,12,6,4,1,1,351.3478260869565,vct-challengers,NA
293,dodonut,0,1,Raze,15,17,8,5,7,1,283.72222222222223,game-changers,NA
310,Ninou,0,1,Sova,15,15,6,2,2,0,264.6470588235294,game-changers,EMEA
311,Mel1,0,1,Killjoy,19,14,1,1,0,1,278.94117647058823,game-changers,EMEA
321,KP,0,1,Harbor,11,16,6,1,2,0,187.11111111111111,game-changers,NA
324,sonder,0,1,Jett,7,18,3,2,5,0,155.55555555555554,game-changers,NA
328,florescent,1,0,Jett,26,12,9,5,1,0,419.8888888888889,vct-challengers,NA
335,Vania,0,1,Brimstone,11,16,6,1,2,1,152.7,vct-international,EMEA
336,Alkyia,0,1,Raze,19,15,4,3,3,0,269.55,vct-international,EMEA
337,eva,0,1,Skye,18,15,11,4,2,0,253.8,vct-international,EMEA
338,Felipa,0,1,Breach,11,17,4,1,2,0,156.25,vct-international,EMEA
339,rayka,0,1,Viper,11,15,2,2,0,0,172.55,vct-international,EMEA
340,bizerra,0,1,Killjoy,15,17,2,3,2,0,181.20833333333334,game-changers,BR
341,bstrdd,0,1,Raze,19,18,6,4,2,0,262.9166666666667,game-changers,BR
342,daiki,0,1,Skye,18,20,14,1,4,0,213.58333333333334,game-changers,BR
343,isaa,0,1,Viper,10,19,10,2,3,0,144.08333333333334,game-changers,BR
344,Joojina,0,1,Astra,20,15,10,2,1,2,227.45833333333334,game-changers,BR
345,srN,1,0,Raze,17,21,6,5,9,0,216.20833333333334,game-changers,BR
346,antg,1,0,Skye,16,16,9,3,0,1,168.66666666666666,game-changers,BR
347,sayuri,1,0,Omen,15,16,8,0,0,1,177.5,game-changers,BR
348,mell1,1,0,Viper,22,13,6,1,1,0,243.75,game-changers,BR
349,nanah,1,0,Killjoy,19,16,3,3,2,1,228.79166666666666,game-changers,BR
370,krysme,1,0,Killjoy,14,15,3,0,1,0,182.9047619047619,game-changers,BR
371,lissA,1,0,Viper,17,11,8,0,0,1,213.85714285714286,game-changers,BR
372,tayhuhu,1,0,Harbor,7,11,6,0,3,1,82.0,game-changers,BR
374,jellykitt,1,0,Skye,25,12,10,3,0,2,367.14285714285717,game-changers,BR
390,shyz,0,1,Killjoy,17,16,3,0,2,0,198.45833333333334,game-changers,LATAM
391,romi,0,1,Viper,27,16,6,3,3,0,300.5833333333333,game-changers,LATAM
392,conir,0,1,Harbor,21,16,8,3,0,0,250.0,vct-challengers,LATAM
393,micaela,0,1,Jett,16,16,3,5,5,0,196.04166666666666,game-changers,LATAM
394,kalita,0,1,Skye,10,17,11,0,3,0,131.33333333333334,game-changers,LATAM
424,florescent,0,1,Yoru,22,18,6,3,5,2,259.875,vct-challengers,NA
527,sayuri,0,1,Omen,12,14,6,1,1,0,179.95,game-changers,BR
528,antg,0,1,Jett,18,14,4,5,4,0,282.0,game-changers,BR
529,nanah,0,1,Killjoy,9,13,1,0,1,0,141.2,game-changers,BR
530,Petra,0,1,Skye,15,20,8,0,4,0,180.08695652173913,game-changers,EMEA
531,mimi,0,1,Viper,5,16,7,0,1,1,94.56521739130434,game-changers,EMEA
532,Glance,0,1,Omen,16,19,8,1,2,0,188.65217391304347,game-changers,EMEA
533,roxi,0,1,Killjoy,10,20,5,2,4,1,153.7391304347826,game-changers,EMEA
534,sarah2,0,1,Jett,25,18,2,5,4,2,295.4347826086956,game-changers,EMEA
535,Vania,1,0,Omen,18,14,14,2,1,0,226.17391304347825,vct-international,EMEA
536,Alkyia,1,0,Jett,22,16,5,8,4,0,283.0869565217391,vct-international,EMEA
537,eva,1,0,Sova,14,16,6,1,3,1,180.65217391304347,vct-international,EMEA
538,Felipa,1,0,Breach,23,11,4,3,0,3,266.8695652173913,vct-international,EMEA
539,rayka,1,0,Killjoy,16,14,2,1,0,0,192.7391304347826,vct-international,EMEA
540,Petra,0,1,Skye,17,17,4,2,3,0,210.08695652173913,game-changers,EMEA
541,mimi,0,1,Killjoy,12,15,2,0,1,0,148.7391304347826,game-changers,EMEA
542,Glance,0,1,Harbor,12,16,2,2,0,0,142.91304347826087,game-changers,EMEA
543,roxi,0,1,Viper,17,16,5,1,1,2,213.65217391304347,game-changers,EMEA
544,sarah2,0,1,Jett,8,19,3,4,9,0,118.21739130434783,game-changers,EMEA
580,micaela,1,0,Jett,23,11,2,4,1,0,274.5,game-changers,LATAM
581,conir,1,0,Viper,17,15,11,6,1,0,223.6818181818182,vct-challengers,LATAM
582,kalita,1,0,Sova,17,11,4,1,1,0,200.9090909090909,game-changers,LATAM
583,romi,1,0,Killjoy,17,10,1,1,0,0,209.3181818181818,game-changers,LATAM
584,shyz,1,0,KAY/O,8,14,6,5,1,0,118.27272727272727,game-changers,LATAM
592,florescent,1,0,Raze,21,7,4,3,2,0,378.53333333333336,vct-challengers,NA
596,KP,0,1,Breach,7,14,2,1,1,0,143.46666666666667,game-changers,NA
599,sonder,0,1,Neon,1,15,2,1,3,0,67.4,game-changers,NA
600,romi,1,0,Cypher,20,10,6,4,1,1,306.3888888888889,game-changers,LATAM
601,micaela,1,0,Raze,22,13,1,2,2,1,298.1666666666667,game-changers,LATAM
602,conir,1,0,Omen,10,12,6,3,2,0,164.66666666666666,vct-challengers,LATAM
603,shyz,1,0,Breach,11,11,13,0,0,0,182.5,game-changers,LATAM
604,kalita,1,0,Skye,12,9,6,1,3,1,168.38888888888889,game-changers,LATAM
605,Ciao,0,1,Astra,7,15,4,1,5,0,123.16666666666667,game-changers,LATAM
606,JuW,0,1,Raze,12,15,3,1,3,0,168.66666666666666,game-changers,LATAM
607,Ivy,0,1,Skye,8,16,5,1,0,0,135.83333333333334,game-changers,LATAM
608,mmonch,0,1,Viper,12,15,5,2,1,0,209.66666666666666,game-changers,LATAM
609,ICamii,0,1,Killjoy,16,14,3,3,1,1,259.6666666666667,game-changers,LATAM
620,Vania,0,1,Omen,22,21,18,4,2,0,255.34615384615384,vct-international,EMEA
621,eva,0,1,Skye,19,16,8,1,1,1,203.34615384615384,vct-international,EMEA
622,Felipa,0,1,Breach,18,17,11,1,2,2,189.46153846153845,vct-international,EMEA
623,rayka,0,1,Killjoy,16,21,3,2,2,0,159.57692307692307,vct-international,EMEA
624,Alkyia,0,1,Raze,16,22,2,4,6,0,179.76923076923077,vct-international,EMEA
625,Ninou,1,0,Sova,11,16,8,1,1,1,136.8846153846154,game-changers,EMEA
626,Mel1,1,0,Killjoy,17,16,4,2,1,0,174.42307692307693,game-changers,EMEA
660,bizerra,1,0,Killjoy,19,10,4,2,1,0,255.5,game-changers,BR
661,bstrdd,1,0,Raze,14,15,3,6,3,0,216.6,game-changers,BR
662,daiki,1,0,Skye,13,12,13,0,0,0,178.55,game-changers,BR
663,isaa,1,0,Viper,16,14,8,0,3,0,211.2,game-changers,BR
664,Joojina,1,0,Astra,15,14,1,3,2,2,188.45,game-changers,BR
665,roxi,0,1,Killjoy,12,15,0,1,1,1,163.95,game-changers,EMEA
666,Glance,0,1,Omen,11,14,10,1,2,0,149.45,game-changers,EMEA
667,mimi,0,1,Skye,14,14,9,2,1,1,201.45,game-changers,EMEA
668,Petra,0,1,Raze,17,18,4,4,5,0,278.85,game-changers,EMEA
669,sarah2,0,1,Viper,11,16,6,1,2,0,171.85,game-changers,EMEA
675,bizerra,1,0,Killjoy,15,13,6,1,0,0,182.8695652173913,game-changers,BR
676,bstrdd,1,0,Raze,18,17,7,6,3,1,233.7391304347826,game-changers,BR
677,daiki,1,0,Skye,22,16,20,6,1,0,288.0869565217391,game-changers,BR
678,isaa,1,0,Viper,8,16,6,0,0,0,110.69565217391305,game-changers,BR
679,Joojina,1,0,Omen,19,15,6,4,2,0,216.47826086956522,game-changers,BR
690,bizerra,1,0,Killjoy,26,17,3,3,2,2,266.32142857142856,game-changers,BR
691,bstrdd,1,0,Jett,25,21,0,6,6,0,248.0,game-changers,BR
692,daiki,1,0,Skye,12,20,18,1,2,0,140.42857142857142,game-changers,BR
693,isaa,1,0,Viper,14,20,9,2,3,1,158.14285714285714,game-changers,BR
694,Joojina,1,0,Omen,23,21,11,1,2,2,233.42857142857142,game-changers,BR
695,Felipa,0,1,Breach,21,20,11,2,1,1,218.03571428571428,vct-international,EMEA
696,Alkyia,0,1,Jett,19,22,5,8,6,0,193.0,vct-international,EMEA
697,Vania,0,1,Omen,18,20,6,1,1,1,184.07142857142858,vct-international,EMEA
698,eva,0,1,Sova,24,18,5,3,2,0,214.17857142857142,vct-international,EMEA
699,Wens,0,1,Killjoy,17,20,4,1,3,0,168.75,vct-international,EMEA
710,Vania,1,0,Omen,20,14,8,5,4,0,252.5909090909091,vct-international,EMEA
711,eva,1,0,Skye,17,9,14,1,0,1,202.5,vct-international,EMEA
712,Felipa,1,0,Breach,13,14,11,0,1,0,164.86363636363637,vct-international,EMEA
713,rayka,1,0,Killjoy,13,16,5,0,1,0,174.45454545454547,vct-international,EMEA
714,Alkyia,1,0,Raze,30,14,4,5,5,1,380.3181818181818,vct-international,EMEA
715,Petra,0,1,Skye,8,19,5,2,5,0,102.45454545454545,game-changers,EMEA
716,mimi,0,1,Killjoy,20,20,1,3,1,0,255.04545454545453,game-changers,EMEA
717,Glance,0,1,Omen,7,18,13,0,0,2,93.9090909090909,game-changers,EMEA
718,roxi,0,1,Viper,7,19,2,0,1,1,98.0909090909091,game-changers,EMEA
719,Mary,0,1,Raze,24,17,5,6,4,1,335.8636363636364,game-changers,EMEA
720,XiMiLu,0,1,KAY/O,15,18,9,3,2,0,179.0,game-changers,INTL
722,Clem,0,1,Killjoy,21,17,8,2,1,1,248.30769230769232,game-changers,INTL
723,WawaLee,0,1,Sova,21,18,7,1,0,0,195.23076923076923,game-changers,INTL
724,YusinGC,0,1,Omen,19,18,15,4,1,0,219.84615384615384,game-changers,INTL
725,shyz,1,0,KAY/O,14,21,13,2,1,0,170.19230769230768,game-changers,LATAM
726,micaela,1,0,Jett,21,23,9,5,6,0,255.26923076923077,game-changers,LATAM
727,kalita,1,0,Sova,17,17,6,3,1,2,170.5,game-changers,LATAM
728,conir,1,0,Omen,24,18,13,2,4,0,254.30769230769232,vct-challengers,LATAM
729,romi,1,0,Killjoy,14,15,4,0,2,2,133.76923076923077,game-changers,LATAM
730,Vania,0,1,Astra,18,21,11,2,2,0,172.35714285714286,vct-international,EMEA
731,eva,0,1,Sova,20,20,6,4,1,0,207.92857142857142,vct-international,EMEA
732,Felipa,0,1,Breach,14,22,7,0,2,0,154.32142857142858,vct-international,EMEA
733,rayka,0,1,Killjoy,14,20,4,1,3,1,155.71428571428572,vct-international,EMEA
734,Alkyia,0,1,Jett,21,22,6,5,8,1,220.5,vct-international,EMEA
735,Petra,1,0,Sova,20,19,13,4,3,0,216.92857142857142,game-changers,EMEA
736,mimi,1,0,KAY/O,27,16,24,3,0,0,267.57142857142856,game-changers,EMEA
737,Glance,1,0,Omen,16,17,9,2,2,0,152.17857142857142,game-changers,EMEA
738,roxi,1,0,Killjoy,17,17,2,2,3,0,165.82142857142858,game-changers,EMEA
739,Mary,1,0,Jett,25,18,7,5,4,1,250.71428571428572,game-changers,EMEA
750,Felipa,0,1,KAY/O,4,16,6,0,1,0,99.125,vct-international,EMEA
751,Alkyia,0,1,Jett,4,16,2,2,3,0,103.625,vct-international,EMEA
752,Vania,0,1,Omen,11,14,5,1,3,2,215.75,vct-international,EMEA
753,eva,0,1,Sova,9,15,2,0,0,0,161.5625,vct-international,EMEA
754,Wens,0,1,Killjoy,4,15,2,0,6,0,91.875,vct-international,EMEA
755,florescent,1,0,Jett,18,5,3,3,0,0,300.1875,vct-challengers,NA
785,mmonch,1,0,Breach,13,16,8,2,1,1,140.91304347826087,game-changers,LATAM
786,Ivy,1,0,Skye,13,17,13,1,2,0,179.1304347826087,game-changers,LATAM
787,JuW,1,0,Raze,18,16,8,6,5,1,217.17391304347825,game-changers,LATAM
788,ICamii,1,0,Viper,14,16,3,2,1,0,155.56521739130434,game-changers,LATAM
789,Ciao,1,0,Brimstone,19,14,11,3,0,2,264.69565217391306,game-changers,LATAM
800,srN,1,0,Raze,24,21,10,8,2,0,363.2608695652174,game-changers,BR
801,antg,1,0,Brimstone,15,19,10,1,3,1,171.56521739130434,game-changers,BR
802,sayuri,1,0,Breach,8,16,15,1,3,1,113.0,game-changers,BR
803,mell1,1,0,Sage,21,17,10,0,3,1,237.17391304347825,game-changers,BR
804,nanah,1,0,Cypher,12,18,4,2,0,1,141.2608695652174,game-changers,BR
850,florescent,0,1,Jett,13,14,2,2,5,0,181.94736842105263,vct-challengers,NA
855,roxi,1,0,Cypher,14,10,6,2,1,1,210.26315789473685,game-changers,EMEA
856,Glance,1,0,Sova,12,13,11,1,1,0,197.73684210526315,game-changers,EMEA
857,mimi,1,0,KAY/O,18,12,10,2,1,0,256.1578947368421,game-changers,EMEA
858,Petra,1,0,Jett,24,10,0,7,4,0,326.3157894736842,game-changers,EMEA
859,sarah2,1,0,Viper,9,12,2,0,0,1,107.05263157894737,game-changers,EMEA
895,Vania,1,0,Omen,19,10,14,1,0,0,283.8333333333333,vct-international,EMEA
896,eva,1,0,Skye,13,11,8,1,2,0,207.83333333333334,vct-international,EMEA
897,Felipa,1,0,Breach,12,9,9,2,1,1,193.33333333333334,vct-international,EMEA
898,Wens,1,0,Cypher,16,10,2,3,2,0,216.72222222222223,vct-international,EMEA
899,Alkyia,1,0,Jett,16,9,0,3,3,0,210.27777777777777,vct-international,EMEA
902,sonder,0,1,Raze,13,17,4,2,8,0,176.8181818181818,game-changers,NA
903,KP,0,1,Breach,6,16,7,1,0,0,77.18181818181819,game-changers,NA
961,KP,1,0,Breach,22,10,11,0,0,1,365.125,game-changers,NA
962,sonder,1,0,Neon,11,16,3,4,8,0,202.9375,game-changers,NA
975,YusinGC,1,0,Omen,13,5,7,1,1,0,226.13333333333333,game-changers,INTL
976,XiMiLu,1,0,Breach,14,5,14,3,0,0,267.2,game-changers,INTL
977,WawaLee,1,0,Sova,14,8,10,0,0,0,267.2,game-changers,INTL
978,Lizhi,1,0,Jett,19,5,1,5,2,0,308.6666666666667,game-changers,INTL
979,Clem,1,0,Killjoy,10,9,1,2,1,0,183.06666666666666,game-changers,INTL
990,Petra,1,0,Skye,16,10,8,1,2,0,241.72222222222223,game-changers,EMEA
991,mimi,1,0,Sage,19,9,4,1,1,0,277.94444444444446,game-changers,EMEA
992,Glance,1,0,Harbor,13,9,5,0,0,1,178.88888888888889,game-changers,EMEA
993,roxi,1,0,Viper,10,10,5,2,1,0,144.0,game-changers,EMEA
994,Mary,1,0,Raze,22,18,1,7,3,0,328.3888888888889,game-changers,EMEA
1010,micaela,1,0,Jett,20,14,5,4,2,0,233.91666666666666,game-changers,LATAM
1011,conir,1,0,Omen,16,14,11,3,3,0,184.625,vct-challengers,LATAM
1012,romi,1,0,Killjoy,19,13,2,4,1,1,199.04166666666666,game-changers,LATAM
1013,kalita,1,0,Sova,19,17,8,2,0,0,213.66666666666666,game-changers,LATAM
1014,shyz,1,0,KAY/O,12,20,11,4,1,0,152.375,game-changers,LATAM
1025,Petra,0,1,Sova,12,13,11,0,4,1,187.9,game-changers,EMEA
1026,mimi,0,1,KAY/O,13,15,6,2,3,0,177.75,game-changers,EMEA
1027,Glance,0,1,Omen,12,16,5,1,2,0,150.95,game-changers,EMEA
1028,roxi,0,1,Killjoy,8,15,9,0,0,0,167.6,game-changers,EMEA
1029,sarah2,0,1,Jett,12,17,1,4,4,0,160.15,game-changers,EMEA
1040,JuW,1,0,Fade,12,7,14,2,0,0,256.64285714285717,game-changers,LATAM
1041,mmonch,1,0,Viper,9,5,5,1,1,1,172.5,game-changers,LATAM
1042,Ivy,1,0,Raze,18,8,3,6,1,0,349.85714285714283,game-changers,LATAM
1043,ChloeZerA,1,0,Killjoy,9,5,1,2,1,0,153.78571428571428,game-changers,LATAM
1044,ICamii,1,0,Astra,20,6,8,0,0,1,374.0,game-changers,LATAM
1060,ChloeZerA,1,0,Sage,11,16,8,3,2,0,117.42307692307692,game-changers,LATAM
1061,JuW,1,0,Raze,22,18,9,7,1,0,275.34615384615387,game-changers,LATAM
1062,ICamii,1,0,Brimstone,16,18,10,3,1,0,185.57692307692307,game-changers,LATAM
1063,Ivy,1,0,Skye,22,16,11,1,1,0,207.07692307692307,game-changers,LATAM
1064,mmonch,1,0,Viper,24,17,9,3,3,2,259.7307692307692,game-changers,LATAM
1085,srN,1,0,Raze,18,14,5,5,2,0,314.05555555555554,game-changers,BR
1086,antg,1,0,Skye,24,11,8,3,0,0,358.44444444444446,game-changers,BR
1087,sayuri,1,0,Brimstone,8,11,15,1,2,0,135.61111111111111,game-changers,BR
1088,mell1,1,0,Sage,14,9,7,2,2,0,212.94444444444446,game-changers,BR
1089,nanah,1,0,Viper,12,7,7,1,0,2,177.55555555555554,game-changers,BR
1129,dodonut,0,1,Jett,12,15,6,3,3,0,161.26315789473685,game-changers,NA
1130,bizerra,0,1,Killjoy,16,15,3,1,2,1,208.3181818181818,game-changers,BR
1131,bstrdd,0,1,Jett,10,16,3,2,6,0,137.45454545454547,game-changers,BR
1132,daiki,0,1,Skye,14,21,9,2,2,0,189.54545454545453,game-changers,BR
1133,isaa,0,1,Viper,13,17,5,2,2,1,187.1818181818182,game-changers,BR
1134,Joojina,0,1,Omen,18,16,6,2,1,0,215.27272727272728,game-changers,BR
1225,bizerra,1,0,KAY/O,14,13,18,1,4,0,213.8421052631579,game-changers,BR
1226,bstrdd,1,0,Jett,16,12,5,2,3,0,233.78947368421052,game-changers,BR
1227,daiki,1,0,Sova,22,9,9,2,1,0,322.94736842105266,game-changers,BR
1228,isaa,1,0,Killjoy,10,12,3,0,3,0,156.42105263157896,game-changers,BR
1229,Joojina,1,0,Omen,17,12,14,2,1,1,246.68421052631578,game-changers,BR
1265,conir,1,0,Omen,19,7,4,1,0,2,284.05882352941177,vct-challengers,LATAM
1266,kalita,1,0,Killjoy,15,11,2,2,2,0,229.47058823529412,game-changers,LATAM
1267,romi,1,0,Fade,12,9,3,3,0,0,181.0,game-changers,LATAM
1268,micaela,1,0,Breach,6,10,13,2,1,0,147.58823529411765,game-changers,LATAM
1269,shyz,1,0,Raze,22,9,1,6,0,1,330.47058823529414,game-changers,LATAM
1270,micaela,1,0,Raze,17,15,3,1,4,0,207.5,game-changers,LATAM
1271,kalita,1,0,Skye,12,17,9,5,0,0,176.54545454545453,game-changers,LATAM
1272,romi,1,0,Viper,16,14,7,3,3,1,194.5909090909091,game-changers,LATAM
1273,conir,1,0,Omen,25,15,2,2,0,0,297.09090909090907,vct-challengers,LATAM
1274,shyz,1,0,Killjoy,16,12,2,3,1,0,201.36363636363637,game-changers,LATAM
1306,sonder,0,1,Raze,6,13,4,2,0,0,193.23076923076923,game-changers,NA
1309,KP,0,1,Skye,2,13,3,0,2,0,45.38461538461539,game-changers,NA
1330,YusinGC,1,0,Omen,22,8,6,3,1,1,322.6470588235294,game-changers,INTL
1331,XiMiLu,1,0,Skye,14,7,5,0,1,1,188.94117647058823,game-changers,INTL
1332,WawaLee,1,0,Viper,11,12,3,4,1,0,178.05882352941177,game-changers,INTL
1333,Lizhi,1,0,Raze,17,7,7,2,4,0,302.6470588235294,game-changers,INTL
1334,Clem,1,0,Killjoy,9,9,5,1,0,0,178.64705882352942,game-changers,INTL
1344,florescent,0,1,Yoru,35,22,6,8,4,0,361.75,vct-challengers,NA
1354,florescent,1,0,Raze,17,16,2,3,3,0,206.7391304347826,vct-challengers,NA
1400,Petra,0,1,Skye,11,16,8,2,1,0,158.77272727272728,game-changers,EMEA
1401,mimi,0,1,Killjoy,13,16,2,1,3,0,155.6818181818182,game-changers,EMEA
1402,Glance,0,1,Harbor,8,17,2,0,1,0,107.9090909090909,game-changers,EMEA
1403,roxi,0,1,Viper,18,14,10,2,3,1,252.4090909090909,game-changers,EMEA
1404,Mary,0,1,Raze,18,18,4,6,3,0,260.6818181818182,game-changers,EMEA
1405,Vania,1,0,Omen,26,13,5,4,1,1,306.8181818181818,vct-international,EMEA
1406,eva,1,0,Skye,7,15,6,1,2,0,99.5,vct-international,EMEA
1407,Felipa,1,0,Breach,18,13,9,0,0,0,211.95454545454547,vct-international,EMEA
1408,rayka,1,0,Killjoy,13,12,4,1,1,1,165.22727272727272,vct-international,EMEA
1409,Alkyia,1,0,Raze,17,15,3,5,7,0,239.9090909090909,vct-international,EMEA
1424,florescent,0,1,Jett,22,16,5,7,6,0,274.1666666666667,vct-challengers,NA
1440,bizerra,1,0,Chamber,26,12,5,5,1,1,339.45454545454544,game-changers,BR
1441,bstrdd,1,0,Raze,19,14,5,3,5,0,226.0,game-changers,BR
1442,daiki,1,0,Skye,15,15,15,2,0,0,183.1818181818182,game-changers,BR
1443,isaa,1,0,Viper,15,17,9,3,1,0,201.8181818181818,game-changers,BR
1444,Joojina,1,0,Brimstone,16,11,5,0,2,2,188.1818181818182,game-changers,BR
1445,m4ndfreak,0,1,Skye,15,16,10,1,1,3,198.63636363636363,game-changers,BR
1446,krysme,0,1,Chamber,17,18,4,2,5,1,218.36363636363637,game-changers,BR
1447,tayhuhu,0,1,Brimstone,13,17,8,1,0,0,169.63636363636363,game-changers,BR
1448,lissA,0,1,Viper,11,19,0,4,3,0,137.5909090909091,game-changers,BR
1449,jellykitt,0,1,Raze,13,21,4,1,4,0,186.86363636363637,game-changers,BR
1452,sonder,0,1,Raze,10,15,9,2,5,0,202.52631578947367,game-changers,NA
1453,KP,0,1,Skye,7,15,9,3,2,0,132.42105263157896,game-changers,NA
1470,Ciao,0,1,Breach,7,15,3,0,0,0,123.875,game-changers,LATAM
1471,JuW,0,1,Fade,7,16,4,1,2,0,166.75,game-changers,LATAM
1472,mmonch,0,1,Cypher,12,14,3,2,1,2,234.9375,game-changers,LATAM
1473,ICamii,0,1,Astra,3,15,4,0,2,0,81.3125,game-changers,LATAM
1474,Ivy,0,1,Raze,7,14,1,2,6,0,139.0,game-changers,LATAM
1475,micaela,1,0,Jett,18,7,1,2,2,0,260.75,game-changers,LATAM
1476,conir,1,0,Omen,13,7,10,4,2,0,224.5625,vct-challengers,LATAM
1477,kalita,1,0,Sova,15,5,5,1,0,0,234.625,game-changers,LATAM
1478,shyz,1,0,KAY/O,9,11,13,2,1,0,178.8125,game-changers,LATAM
1479,romi,1,0,Killjoy,19,6,3,2,0,0,316.25,game-changers,LATAM
1530,YusinGC,1,0,Omen,20,12,10,1,0,0,212.04166666666666,game-changers,INTL
1531,XiMiLu,1,0,Skye,13,17,13,2,1,0,176.58333333333334,game-changers,INTL
1532,WawaLee,1,0,Viper,10,17,5,2,1,0,127.54166666666667,game-changers,INTL
1533,Lizhi,1,0,Raze,27,16,4,6,5,0,330.8333333333333,game-changers,INTL
1534,Clem,1,0,Killjoy,17,16,3,3,3,2,200.29166666666666,game-changers,INTL
1560,ICamii,1,0,Viper,20,13,4,2,1,0,299.36842105263156,game-changers,LATAM
1561,JuW,1,0,Jett,20,10,4,7,4,0,297.57894736842104,game-changers,LATAM
1562,ChloeZerA,1,0,Killjoy,9,12,0,1,1,0,128.47368421052633,game-changers,LATAM
1563,mmonch,1,0,Harbor,15,7,9,0,1,1,216.52631578947367,game-changers,LATAM
1564,Ivy,1,0,Skye,11,9,13,0,2,0,171.78947368421052,game-changers,LATAM
1608,dodonut,1,0,Jett,23,17,2,3,3,1,251.5,game-changers,NA
1622,sonder,1,0,Jett,21,10,3,3,7,1,250.61904761904762,game-changers,NA
1623,KP,1,0,Sova,11,12,3,2,0,0,179.95238095238096,game-changers,NA
1690,srN,1,0,Jett,22,12,0,6,5,0,298.9,game-changers,BR
1691,antg,1,0,Skye,14,14,10,2,0,0,225.0,game-changers,BR
1692,sayuri,1,0,Harbor,12,11,10,1,1,0,174.85,game-changers,BR
1693,mell1,1,0,Viper,8,8,2,0,2,0,124.5,game-changers,BR
