,player_name,wins,loss,player_agent,player_kills,player_deaths,player_assists,player_first_bloods,player_first_deaths,player_clutches,player_combat_score,bracket,region,KPR,KPR_Variance
1042,Ivy,1,0,Raze,18,8,3,6,1,0,349.86,game-changers,LATAM,1.29,1.78
1043,ChloeZerA,1,0,Killjoy,9,5,1,2,1,0,153.79,game-changers,LATAM,0.64,0.37
1044,ICamii,1,0,Astra,20,6,8,0,0,1,374.0,game-changers,LATAM,1.43,1.24
1060,ChloeZerA,1,0,Sage,11,16,8,3,2,0,117.42,game-changers,LATAM,0.44,0.49
1061,JuW,1,0,Raze,22,18,9,7,1,0,275.35,game-changers,LATAM,0.88,0.83
1062,ICamii,1,0,Brimstone,16,18,10,3,1,0,185.58,game-changers,LATAM,0.64,0.87
1063,Ivy,1,0,Skye,22,16,11,1,1,0,207.08,game-changers,LATAM,0.88,1.23
1064,mmonch,1,0,Viper,24,17,9,3,3,2,259.73,game-changers,LATAM,0.96,1.0
1085,srN,1,0,Raze,18,14,5,5,2,0,314.06,game-changers,BR,1.0,1.89
1086,antg,1,0,Skye,24,11,8,3,0,0,358.44,game-changers,BR,1.33,1.44
1087,sayuri,1,0,Brimstone,8,11,15,1,2,0,135.61,game-changers,BR,0.44,0.69
1088,mell1,1,0,Sage,14,9,7,2,2,0,212.94,game-changers,BR,0.78,0.84
1089,nanah,1,0,Viper,12,7,7,1,0,2,177.56,game-changers,BR,0.67,0.78
1129,dodonut,0,1,Jett,12,15,6,3,3,0,161.26,game-changers,NA,0.63,1.07
1130,bizerra,0,1,Killjoy,16,15,3,1,2,1,208.32,game-changers,BR,0.73,0.83
1131,bstrdd,0,1,Jett,10,16,3,2,6,0,137.45,game-changers,BR,0.45,0.52
1132,daiki,0,1,Skye,14,21,9,2,2,0,189.55,game-changers,BR,0.64,0.78
1133,isaa,0,1,Viper,13,17,5,2,2,1,187.18,game-changers,BR,0.59,0.51
1134,Joojina,0,1,Omen,18,16,6,2,1,0,215.27,game-changers,BR,0.82,0.6
1225,bizerra,1,0,KAY/O,14,13,18,1,4,0,213.84,game-changers,BR,0.74,1.04
1226,bstrdd,1,0,Jett,16,12,5,2,3,0,233.79,game-changers,BR,0.84,0.98
1227,daiki,1,0,Sova,22,9,9,2,1,0,322.95,game-changers,BR,1.16,1.19
1228,isaa,1,0,Killjoy,10,12,3,0,3,0,156.42,game-changers,BR,0.53,0.78
1229,Joojina,1,0,Omen,17,12,14,2,1,1,246.68,game-changers,BR,0.89,1.57
1265,conir,1,0,Omen,19,7,4,1,0,2,284.06,vct-challengers,LATAM,1.12,0.46
1266,kalita,1,0,Killjoy,15,11,2,2,2,0,229.47,game-changers,LATAM,0.88,0.93
1267,romi,1,0,Fade,12,9,3,3,0,0,181.0,game-changers,LATAM,0.71,0.44
1268,micaela,1,0,Breach,6,10,13,2,1,0,147.59,game-changers,LATAM,0.35,0.23
1269,shyz,1,0,Raze,22,9,1,6,0,1,330.47,game-changers,LATAM,1.29,0.56
1270,micaela,1,0,Raze,17,15,3,1,4,0,207.5,game-changers,LATAM,0.77,0.9
1271,kalita,1,0,Skye,12,17,9,5,0,0,176.55,game-changers,LATAM,0.55,0.43
1272,romi,1,0,Viper,16,14,7,3,3,1,194.59,game-changers,LATAM,0.73,0.83
1273,conir,1,0,Omen,25,15,2,2,0,0,297.09,vct-challengers,LATAM,1.14,1.48
1274,shyz,1,0,Killjoy,16,12,2,3,1,0,201.36,game-changers,LATAM,0.73,0.65
1330,YusinGC,1,0,Omen,22,8,6,3,1,1,322.65,game-changers,INTL,1.29,0.8
1331,XiMiLu,1,0,Skye,14,7,5,0,1,1,188.94,game-changers,INTL,0.82,0.62
1332,WawaLee,1,0,Viper,11,12,3,4,1,0,178.06,game-changers,INTL,0.65,0.7
1333,Lizhi,1,0,Raze,17,7,7,2,4,0,302.65,game-changers,INTL,1.0,1.65
1334,Clem,1,0,Killjoy,9,9,5,1,0,0,178.65,game-changers,INTL,0.53,0.72
1344,florescent,0,1,Yoru,35,22,6,8,4,0,361.75,vct-challengers,NA,1.25,1.47
1354,florescent,1,0,Raze,17,16,2,3,3,0,206.74,vct-challengers,NA,0.74,1.24
1400,Petra,0,1,Skye,11,16,8,2,1,0,158.77,game-changers,EMEA,0.5,0.34
1401,mimi,0,1,Killjoy,13,16,2,1,3,0,155.68,game-changers,EMEA,0.59,0.42
1402,Glance,0,1,Harbor,8,17,2,0,1,0,107.91,game-changers,EMEA,0.36,0.41
1403,roxi,0,1,Viper,18,14,10,2,3,1,252.41,game-changers,EMEA,0.82,0.6
1404,Mary,0,1,Raze,18,18,4,6,3,0,260.68,game-changers,EMEA,0.82,1.15
1405,Vania,1,0,Omen,26,13,5,4,1,1,306.82,vct-international,EMEA,1.18,2.15
1406,eva,1,0,Skye,7,15,6,1,2,0,99.5,vct-international,EMEA,0.32,0.31
1407,Felipa,1,0,Breach,18,13,9,0,0,0,211.95,vct-international,EMEA,0.82,1.15
1408,rayka,1,0,Killjoy,13,12,4,1,1,1,165.23,vct-international,EMEA,0.59,0.61
1409,Alkyia,1,0,Raze,17,15,3,5,7,0,239.91,vct-international,EMEA,0.77,0.72
1424,florescent,0,1,Jett,22,16,5,7,6,0,274.17,vct-challengers,NA,0.92,1.33
1440,bizerra,1,0,Chamber,26,12,5,5,1,1,339.45,game-changers,BR,1.18,1.88
1441,bstrdd,1,0,Raze,19,14,5,3,5,0,226.0,game-changers,BR,0.86,0.57
1442,daiki,1,0,Skye,15,15,15,2,0,0,183.18,game-changers,BR,0.68,1.22
1443,isaa,1,0,Viper,15,17,9,3,1,0,201.82,game-changers,BR,0.68,0.76
1444,Joojina,1,0,Brimstone,16,11,5,0,2,2,188.18,game-changers,BR,0.73,0.47
1445,m4ndfreak,0,1,Skye,15,16,10,1,1,3,198.64,game-changers,BR,0.68,0.67
1446,krysme,0,1,Chamber,17,18,4,2,5,1,218.36,game-changers,BR,0.77,0.9
1448,lissA,0,1,Viper,11,19,0,4,3,0,137.59,game-changers,BR,0.5,0.52
1449,jellykitt,0,1,Raze,13,21,4,1,4,0,186.86,game-changers,BR,0.59,0.51
1470,Ciao,0,1,Breach,7,15,3,0,0,0,123.88,game-changers,LATAM,0.44,0.37
1471,JuW,0,1,Fade,7,16,4,1,2,0,166.75,game-changers,LATAM,0.44,0.37
1472,mmonch,0,1,Cypher,12,14,3,2,1,2,234.94,game-changers,LATAM,0.75,1.31
1473,ICamii,0,1,Astra,3,15,4,0,2,0,81.31,game-changers,LATAM,0.19,0.28
1474,Ivy,0,1,Raze,7,14,1,2,6,0,139.0,game-changers,LATAM,0.44,0.62
1475,micaela,1,0,Jett,18,7,1,2,2,0,260.75,game-changers,LATAM,1.12,1.23
1476,conir,1,0,Omen,13,7,10,4,2,0,224.56,vct-challengers,LATAM,0.81,0.65
1477,kalita,1,0,Sova,15,5,5,1,0,0,234.62,game-changers,LATAM,0.94,0.56
1478,shyz,1,0,KAY/O,9,11,13,2,1,0,178.81,game-changers,LATAM,0.56,0.75
1479,romi,1,0,Killjoy,19,6,3,2,0,0,316.25,game-changers,LATAM,1.19,1.15
1530,YusinGC,1,0,Omen,20,12,10,1,0,0,212.04,game-changers,INTL,0.83,0.64
